"__uid","__parent_uid","script_name","script_code","script_type","script_family","script_direction","script_baseline","script_whiteSpace","script_features","script_typicalFont","script_alternateNames","script_numericCode","script_casing","script_diacritics","script_contextualForms","script_complexPos","script_reordering","script_splitGraphs","script_ligatures","script_sample","__display_name","script_displayCode","script_openTypeTags","script_status","script_numericCodePlus","script_sortName","script_shortName","script_subjectTabFlags"
"gdbf9f456b","","Buhid","Buhd","abugida","Insular Southeast Asian","LTR","bottom","[unspecified]","","","","372","no","yes","[unknown]","[unknown]","[unknown]","[unknown]","optional","a:8:{s:9:""file_name"";s:23:""Buhid_script_sample.png"";s:14:""file_MIME_type"";s:9:""image/png"";s:9:""file_type"";s:3:""png"";s:10:""is_package"";b:0;s:7:""caption"";s:37:""Sample of Buhid script in Philippines"";s:6:""author"";s:10:""M Adiputra"";s:9:""copyright"";s:12:""CC-BY-SA 3.0"";s:5:""notes"";s:75:""https://upload.wikimedia.org/wikipedia/commons/5/5a/Buhid_script_sample.svg"";}","Buhid [Buhd]","Buhd","buhd","Current","372 (alphasyllabic)","Buhid","Buhid script","83"
"9fa4ede5ff","","Unified Canadian Aboriginal Syllabics","Cans","syllabary","American","LTR","bottom","between words","","","","440","no","yes","no","no","[unknown]","no","none","a:8:{s:9:""file_name"";s:22:""InuktitutUCAS-crop.png"";s:14:""file_MIME_type"";s:9:""image/png"";s:9:""file_type"";s:3:""png"";s:10:""is_package"";b:0;s:7:""caption"";s:108:""	  William J Poser 'D lk’wahke: The First Carrier Writing System', 2003. See Use and History subject area."";s:6:""author"";s:0:"""";s:9:""copyright"";s:0:"""";s:5:""notes"";s:0:"""";}","Unified Canadian Aboriginal Syllabics [Cans]","Cans","cans","Current","440 (syllabic)","Unified Canadian Aboriginal Syllabics","Unified Canadian Aboriginal Syllabics script","83"
"e3fd67fh97","","Carian","Cari","alphabet","Middle Eastern","LTR","bottom","none","","","","201","no","no","[unknown]","[unknown]","no","[unknown]","[unspecified]","a:8:{s:9:""file_name"";s:17:""Carian_sample.jpg"";s:14:""file_MIME_type"";s:10:""image/jpeg"";s:9:""file_type"";s:4:""jpeg"";s:10:""is_package"";b:0;s:7:""caption"";s:58:""Carian inscriptions on limestone stela (see Use & History)"";s:6:""author"";s:0:"""";s:9:""copyright"";s:0:"""";s:5:""notes"";s:0:"""";}","Carian [Cari]","Cari","cari","Historical","201 (left-to-right alphabetic)","Carian","Carian script","83"
"285fchbf56","","Cham","Cham","abugida","Mainland Southeast Asian","LTR","hanging","[unspecified]","","","","358","no","yes","yes","[unknown]","[unknown]","[unknown]","required","a:8:{s:9:""file_name"";s:9:""cham2.png"";s:14:""file_MIME_type"";s:9:""image/png"";s:9:""file_type"";s:3:""png"";s:10:""is_package"";b:0;s:7:""caption"";s:49:""From Wikipedia. See Use and History subject area."";s:6:""author"";s:0:"""";s:9:""copyright"";s:0:"""";s:5:""notes"";s:0:"""";}","Cham [Cham]","Cham","cham","Current","358 (alphasyllabic)","Cham","Cham script","91"
"fdfga56hh7","","Cherokee","Cher","syllabary","American","LTR","bottom","between words","","","","445","yes","no","[unknown]","[unknown]","[unknown]","[unknown]","none","a:8:{s:9:""file_name"";s:12:""Cherokee.png"";s:14:""file_MIME_type"";s:9:""image/png"";s:9:""file_type"";s:3:""png"";s:10:""is_package"";b:0;s:7:""caption"";s:49:""From Wikipedia. See Use and History subject area."";s:6:""author"";s:0:"""";s:9:""copyright"";s:0:"""";s:5:""notes"";s:0:"""";}","Cherokee [Cher]","Cher","cher","Current","445 (syllabic)","Cherokee","Cherokee script","83"
"e356a443cg","","Cirth","Cirt","alphabet","Artificial","LTR","bottom","between words","","","","291","no","[unknown]","yes","[unknown]","[unknown]","[unknown]","","a:8:{s:9:""file_name"";s:16:""Cirth_sample.PNG"";s:14:""file_MIME_type"";s:9:""image/png"";s:9:""file_type"";s:3:""png"";s:10:""is_package"";b:0;s:7:""caption"";s:77:""Balin's tomb upper inscription, set using the Angerthas font for Cirth runes."";s:6:""author"";s:45:""https://sl.wikipedia.org/wiki/Uporabnik:Rok42"";s:9:""copyright"";s:38:""© 2005  (licensed under CC-BY-SA 3.0)"";s:5:""notes"";s:0:"""";}","Cirth [Cirt]","Cirt","","Fictional","291 (left-to-right alphabetic)","Cirth","Cirth script","83"
"6de9gagc86","","Coptic","Copt","alphabet","European","LTR","bottom","none","","","","204","yes","yes","no","[unknown]","no","[unknown]","","a:8:{s:9:""file_name"";s:19:""coptic-crop.png.jpg"";s:14:""file_MIME_type"";s:10:""image/jpeg"";s:9:""file_type"";s:4:""jpeg"";s:10:""is_package"";b:0;s:7:""caption"";s:59:""Eric Olsen, Flickr, 2005. See Use and History subject area."";s:6:""author"";s:0:"""";s:9:""copyright"";s:0:"""";s:5:""notes"";s:0:"""";}","Coptic [Copt]","Copt","copt","Current","204 (left-to-right alphabetic)","Coptic","Coptic script","83"
"b783ff3ebc","","Cypriot syllabary","Cprt","syllabary","European","RTL","bottom","none","","","","403","no","no","[unknown]","[unknown]","[unknown]","[unknown]","[unspecified]","a:8:{s:9:""file_name"";s:16:""cypriot-crop.png"";s:14:""file_MIME_type"";s:9:""image/png"";s:9:""file_type"";s:3:""png"";s:10:""is_package"";b:0;s:7:""caption"";s:49:""From Wikipedia. See Use and History subject area."";s:6:""author"";s:0:"""";s:9:""copyright"";s:0:"""";s:5:""notes"";s:0:"""";}","Cypriot syllabary [Cprt]","Cprt","cprt","Historical","403 (syllabic)","Cypriot syllabary","Cypriot syllabary","83"
"a5af78hd5g","","Cyrillic","Cyrl","alphabet","European","LTR","bottom","between words","","","","220","yes","no","[unknown]","no","no","no","none","a:8:{s:9:""file_name"";s:17:""Cyrillic-crop.png"";s:14:""file_MIME_type"";s:9:""image/png"";s:9:""file_type"";s:3:""png"";s:10:""is_package"";b:0;s:7:""caption"";s:49:""From Wikipedia. See Use and History subject area."";s:6:""author"";s:0:"""";s:9:""copyright"";s:0:"""";s:5:""notes"";s:0:"""";}","Cyrillic [Cyrl]","Cyrl","cyrl","Current","220 (left-to-right alphabetic)","Cyrillic","Cyrillic script","95"
"gcagfe62ga","","Cyrillic (Old Church Slavonic variant)","Cyrs","alphabet","European","LTR","bottom","between words","","","","221","no","yes","[unknown]","[unknown]","[unknown]","[unknown]","[unspecified]","a:8:{s:9:""file_name"";s:38:""cyrilic old church slavonic sample.png"";s:14:""file_MIME_type"";s:9:""image/png"";s:9:""file_type"";s:3:""png"";s:10:""is_package"";b:0;s:7:""caption"";s:36:""The Lord's Prayer in Church Slavonic"";s:6:""author"";s:26:""Dominik Maximilián Ramík"";s:9:""copyright"";s:0:"""";s:5:""notes"";s:0:"""";}","Cyrillic (Old Church Slavonic variant) [Cyrs]","Cyrs","","Historical","221 (left-to-right alphabetic)","Cyrillic (Old Church Slavonic variant)","Cyrillic script, Old Church Slavonic variant","83"
"hh3a985d52","","Devanagari (Nagari)","Deva","abugida","Indic","LTR","hanging","between words","","","","315","no","yes","yes","yes","yes","no","required","a:8:{s:9:""file_name"";s:18:""MagahiDev-crop.png"";s:14:""file_MIME_type"";s:9:""image/png"";s:9:""file_type"";s:3:""png"";s:10:""is_package"";b:0;s:7:""caption"";s:91:""From the Universal Declaration of Human Rights in Magahi. See Use and History subject area."";s:6:""author"";s:0:"""";s:9:""copyright"";s:0:"""";s:5:""notes"";s:0:"""";}","Devanagari (Nagari) [Deva]","Deva","deva, dev2","Current","315 (alphasyllabic)","Devanagari (Nagari)","Devanagari script","95"
"9hgce5baf2","","Deseret (Mormon)","Dsrt","alphabet","American","LTR","bottom","between words","","","","250","yes","yes","[unknown]","[unknown]","[unknown]","[unknown]","[unspecified]","a:8:{s:9:""file_name"";s:16:""deseret-crop.png"";s:14:""file_MIME_type"";s:9:""image/png"";s:9:""file_type"";s:3:""png"";s:10:""is_package"";b:0;s:7:""caption"";s:65:""From Toppan Rare Books Library. See Use and History subject area."";s:6:""author"";s:0:"""";s:9:""copyright"";s:0:"""";s:5:""notes"";s:0:"""";}","Deseret (Mormon) [Dsrt]","Dsrt","dsrt","Historical","250 (left-to-right alphabetic)","Deseret (Mormon)","Deseret Alphabet","83"
"3c65629d74","","Egyptian demotic","Egyd","logo-syllabary","African","RTL","bottom","none","","","","70","no","[unknown]","[unknown]","[unknown]","[unknown]","[unknown]","[unspecified]","a:8:{s:9:""file_name"";s:16:""demotic-crop.png"";s:14:""file_MIME_type"";s:9:""image/png"";s:9:""file_type"";s:3:""png"";s:10:""is_package"";b:0;s:7:""caption"";s:49:""From Wikipedia. See Use and History subject area."";s:6:""author"";s:0:"""";s:9:""copyright"";s:0:"""";s:5:""notes"";s:0:"""";}","Egyptian demotic [Egyd]","Egyd","","Historical","070 (hieroglyphic/cuneiform)","Egyptian demotic","Egyptian demotic script","83"
"34d982939d","","Egyptian hieratic","Egyh","logo-syllabary","African","LTR","bottom","none","","","","60","no","[unknown]","[unknown]","[unknown]","[unknown]","[unknown]","[unspecified]","a:8:{s:9:""file_name"";s:12:""Hieratic.png"";s:14:""file_MIME_type"";s:9:""image/png"";s:9:""file_type"";s:3:""png"";s:10:""is_package"";b:0;s:7:""caption"";s:49:""From Wikipedia. See Use and History subject area."";s:6:""author"";s:0:"""";s:9:""copyright"";s:0:"""";s:5:""notes"";s:0:"""";}","Egyptian hieratic [Egyh]","Egyh","","Historical","060 (hieroglyphic/cuneiform)","Egyptian hieratic","Egyptian hieratic script","75"
"ee3dg4ed4a","","Egyptian hieroglyphs","Egyp","logo-syllabary","African","LTR","centered","none","","","","50","no","[unknown]","[unknown]","[unknown]","[unknown]","[unknown]","[unspecified]","a:8:{s:9:""file_name"";s:20:""Hieroglyphs-crop.png"";s:14:""file_MIME_type"";s:9:""image/png"";s:9:""file_type"";s:3:""png"";s:10:""is_package"";b:0;s:7:""caption"";s:59:""watchsmart, Flickr, 2007. See Use and History subject area."";s:6:""author"";s:0:"""";s:9:""copyright"";s:0:"""";s:5:""notes"";s:0:"""";}","Egyptian hieroglyphs [Egyp]","Egyp","egyp","Historical","050 (hieroglyphic/cuneiform)","Egyptian hieroglyphs","Egyptian hieroglyphs script","87"
"da2b89gb39","","Ethiopic (Geʻez)","Ethi","syllabary","African","LTR","bottom","between words","","","","430","no","yes","yes","no","[unknown]","[unknown]","none","a:8:{s:9:""file_name"";s:21:""ethiopic-crop.png.jpg"";s:14:""file_MIME_type"";s:10:""image/jpeg"";s:9:""file_type"";s:4:""jpeg"";s:10:""is_package"";b:0;s:7:""caption"";s:56:""Kelly Blacksten, 2011. See Use and History subject area."";s:6:""author"";s:0:"""";s:9:""copyright"";s:0:"""";s:5:""notes"";s:0:"""";}","Ethiopic (Geʻez) [Ethi]","Ethi","ethi","Current","430 (syllabic)","Ethiopic (Geʻez)","Ethiopic script","127"
"d2bbh5454b","","Khutsuri (Asomtavruli and Nuskhuri)","Geok","alphabet","European","LTR","bottom","between words","","","","241","yes","[unknown]","[unknown]","[unknown]","[unknown]","[unknown]","optional","a:8:{s:9:""file_name"";s:19:""Khutsuri_sample.PNG"";s:14:""file_MIME_type"";s:9:""image/png"";s:9:""file_type"";s:3:""png"";s:10:""is_package"";b:0;s:7:""caption"";s:77:""Texts from Ialguzidze's Ossetic religious books in Georgian Khutsuri alphabet"";s:6:""author"";s:10:""Ialguzidze"";s:9:""copyright"";s:15:""(Public domain)"";s:5:""notes"";s:0:"""";}","Khutsuri (Asomtavruli and Nuskhuri) [Geok]","Geok","","Current","241 (left-to-right alphabetic)","Khutsuri (Asomtavruli and Nuskhuri)","Khutsuri script","91"
"3fc7b94be3","","Georgian (Mkhedruli and Mtavruli)","Geor","alphabet","European","LTR","bottom","between words","","","","240","no","no","no","[unknown]","[unknown]","[unknown]","optional","a:8:{s:9:""file_name"";s:17:""Georgian-crop.png"";s:14:""file_MIME_type"";s:9:""image/png"";s:9:""file_type"";s:3:""png"";s:10:""is_package"";b:0;s:7:""caption"";s:93:""From the Universal Declaration of Human Rights in Georgian. See Use and History subject area."";s:6:""author"";s:0:"""";s:9:""copyright"";s:0:"""";s:5:""notes"";s:0:"""";}","Georgian (Mkhedruli and Mtavruli) [Geor]","Geor","geor","Current","240 (left-to-right alphabetic)","Georgian (Mkhedruli and Mtavruli)","Georgian (Mkhedruli and Mtavruli) script","91"
"8dfgae3fh2","","Glagolitic","Glag","alphabet","European","LTR","bottom","between words","","","","225","yes","yes","no","no","no","no","required","a:8:{s:9:""file_name"";s:19:""glagolitic-crop.png"";s:14:""file_MIME_type"";s:9:""image/png"";s:9:""file_type"";s:3:""png"";s:10:""is_package"";b:0;s:7:""caption"";s:65:""From Curious Expeditions, 2007. See Use and History subject area."";s:6:""author"";s:0:"""";s:9:""copyright"";s:0:"""";s:5:""notes"";s:0:"""";}","Glagolitic [Glag]","Glag","glag","Historical","225 (left-to-right alphabetic)","Glagolitic","Glagolitic script","83"
"949g4c996b","","Gothic","Goth","alphabet","European","LTR","bottom","discretionary","","","","206","[unknown]","yes","[unknown]","[unknown]","[unknown]","yes","optional","a:8:{s:9:""file_name"";s:38:""Gothic_Codex_Argenteus-Mark_sample.jpg"";s:14:""file_MIME_type"";s:10:""image/jpeg"";s:9:""file_type"";s:4:""jpeg"";s:10:""is_package"";b:0;s:7:""caption"";s:40:""From Codex Argenteus (see Use & History)"";s:6:""author"";s:0:"""";s:9:""copyright"";s:0:"""";s:5:""notes"";s:0:"""";}","Gothic [Goth]","Goth","goth","Historical","206 (left-to-right alphabetic)","Gothic","Gothic script","83"
"b7cc5369a5","","Greek","Grek","alphabet","European","LTR","bottom","between words","","","","200","yes","yes","yes","no","[unknown]","[unknown]","optional","a:8:{s:9:""file_name"";s:22:""GreekPolyMono-crop.png"";s:14:""file_MIME_type"";s:9:""image/png"";s:9:""file_type"";s:3:""png"";s:10:""is_package"";b:0;s:7:""caption"";s:90:""From the Universal Declaration of Human Rights in Greek. See Use and History subject area."";s:6:""author"";s:0:"""";s:9:""copyright"";s:0:"""";s:5:""notes"";s:0:"""";}","Greek [Grek]","Grek","grek","Current","200 (left-to-right alphabetic)","Greek","Greek script","95"
"67938de378","","Gujarati","Gujr","abugida","Indic","LTR","hanging","between words","","","","320","no","yes","yes","[unknown]","yes","yes","required","a:8:{s:9:""file_name"";s:12:""Gujarati.png"";s:14:""file_MIME_type"";s:9:""image/png"";s:9:""file_type"";s:3:""png"";s:10:""is_package"";b:0;s:7:""caption"";s:49:""From Wikipedia. See Use and History subject area."";s:6:""author"";s:0:"""";s:9:""copyright"";s:0:"""";s:5:""notes"";s:0:"""";}","Gujarati [Gujr]","Gujr","gujr, gjr2","Current","320 (alphasyllabic)","Gujarati","Gujarati script","123"
"2g55ee8a66","","Gurmukhi","Guru","abugida","Indic","LTR","hanging","between words","","","","310","no","yes","yes","yes","yes","no","required","a:8:{s:9:""file_name"";s:17:""gurmukhi-crop.png"";s:14:""file_MIME_type"";s:9:""image/png"";s:9:""file_type"";s:3:""png"";s:10:""is_package"";b:0;s:7:""caption"";s:49:""From Wikipedia. See Use and History subject area."";s:6:""author"";s:0:"""";s:9:""copyright"";s:0:"""";s:5:""notes"";s:0:"""";}","Gurmukhi [Guru]","Guru","guru, gur2","Current","310 (alphasyllabic)","Gurmukhi","Gurmukhi script","91"
"ae38cf37hc","","Hangul (Hangŭl, Hangeul)","Hang","featural","East Asian","vertical (RTL) and horizontal (LTR)","centered","between words","","","","286","no","no","no","no","no","[unknown]","[unspecified]","a:8:{s:9:""file_name"";s:15:""korean-crop.png"";s:14:""file_MIME_type"";s:9:""image/png"";s:9:""file_type"";s:3:""png"";s:10:""is_package"";b:0;s:7:""caption"";s:60:""Hyunwoo Sun, Flickr, 2010. See Use and History subject area."";s:6:""author"";s:0:"""";s:9:""copyright"";s:0:"""";s:5:""notes"";s:0:"""";}","Hangul (Hangŭl, Hangeul) [Hang]","Hang","hang","Current","286 (left-to-right alphabetic)","Hangul (Hangŭl, Hangeul)","Hangul script","91"
"hd26388b33","","Han (Hanzi, Kanji, Hanja)","Hani","logo-syllabary","East Asian","vertical (RTL) and horizontal (LTR)","centered","none","","","","500","no","yes","[unknown]","[unknown]","[unknown]","[unknown]","","a:8:{s:9:""file_name"";s:12:""han-crop.png"";s:14:""file_MIME_type"";s:9:""image/png"";s:9:""file_type"";s:3:""png"";s:10:""is_package"";b:0;s:7:""caption"";s:0:"""";s:6:""author"";s:0:"""";s:9:""copyright"";s:0:"""";s:5:""notes"";s:0:"""";}","Han (Hanzi, Kanji, Hanja) [Hani]","Hani","hani","Current","500 (ideographic)","Han (Hanzi, Kanji, Hanja)","Han script","83"
"53333h8cff","","Hanunoo (Hanunóo)","Hano","abugida","Insular Southeast Asian","vertical (LTR)","vertical","none","","","","371","no","yes","yes","yes","[unknown]","[unknown]","required","a:8:{s:9:""file_name"";s:16:""hanunoo-crop.png"";s:14:""file_MIME_type"";s:9:""image/png"";s:9:""file_type"";s:3:""png"";s:10:""is_package"";b:0;s:7:""caption"";s:58:""Excerpt from 'Ana Nimi'. See Use and History subject area."";s:6:""author"";s:0:"""";s:9:""copyright"";s:0:"""";s:5:""notes"";s:0:"""";}","Hanunoo (Hanunóo) [Hano]","Hano","hano","Current","371 (alphasyllabic)","Hanunoo (HanunOo)","Hanunoo script","83"
"3d65323gc6","","Han (Simplified variant)","Hans","logo-syllabary","East Asian","vertical (RTL) and horizontal (LTR)","centered","none","","","","501","no","[unknown]","[unknown]","no","no","[unknown]","none","a:8:{s:9:""file_name"";s:16:""HanSimp-crop.png"";s:14:""file_MIME_type"";s:9:""image/png"";s:9:""file_type"";s:3:""png"";s:10:""is_package"";b:0;s:7:""caption"";s:101:""From the Universal Declaration of Human Rights in Mandarin Chinese. See Use and History subject area."";s:6:""author"";s:0:"""";s:9:""copyright"";s:0:"""";s:5:""notes"";s:0:"""";}","Han (Simplified variant) [Hans]","Hans","","Current","501 (ideographic)","Han (Simplified variant)","Han script, Simplified variant","91"
"hfl8whvbpl","","Beria Erfe","Berf","alphabet","African","LTR","bottom","between words","","","","258","yes","yes","no","no","no","no","none","a:8:{s:9:""file_name"";s:9:""Beria.png"";s:14:""file_MIME_type"";s:9:""image/png"";s:9:""file_type"";s:3:""png"";s:10:""is_package"";b:0;s:7:""caption"";s:0:"""";s:6:""author"";s:0:"""";s:9:""copyright"";s:0:"""";s:5:""notes"";s:0:"""";}","Beria Erfe [Berf]","Berf","","Current","258 (left-to-right alphabetic)","Beria Erfe","Beria Erfe script","87"
"m9p32lkuzs","","Kaithi","Kthi","abugida","Indic","LTR","hanging","discretionary","","","","317","no","yes","yes","yes","yes","[unknown]","required","a:8:{s:9:""file_name"";s:17:""Kaithi_sample.png"";s:14:""file_MIME_type"";s:9:""image/png"";s:9:""file_type"";s:3:""png"";s:10:""is_package"";b:0;s:7:""caption"";s:105:""Scanned from E.B. Eastwick, A Concise Grammar Of The Hindustani Language, 2nd edition, 1858 (handwritten)"";s:6:""author"";s:14:""E. B. Eastwick"";s:9:""copyright"";s:13:""Public Domain"";s:5:""notes"";s:0:"""";}","Kaithi [Kthi]","Kthi","kthi","Current","317 (alphasyllabic)","Kaithi","Kaithi script","83"
"eb5hcc8ce7","","Hebrew","Hebr","abjad","Middle Eastern","RTL bidirectional","bottom","between words","","","","125","no","yes","yes","no","[unknown]","[unknown]","required","a:8:{s:9:""file_name"";s:10:""Hebrew.png"";s:14:""file_MIME_type"";s:9:""image/png"";s:9:""file_type"";s:3:""png"";s:10:""is_package"";b:0;s:7:""caption"";s:60:""Chajm Guski, Flickr, 2009. See Use and History subject area."";s:6:""author"";s:0:"""";s:9:""copyright"";s:0:"""";s:5:""notes"";s:0:"""";}","Hebrew [Hebr]","Hebr","hebr","Current","125 (right-to-left alphabetic)","Hebrew","Hebrew script","91"
