entrytype,entrysubtype,key,title,author,editor,sortname,journaltitle,booktitle,series,organization,presort,url,date,urldate,isbn,issn,publisher,location,pages,volume,number,keywords,addendum,abstract,annotation,SS Rec Type,SS UID,Link Text,Larger Work,ID,Type,Orig Date,,,,
book,,al-baba1994,Rouh Al-Khatt Al-Arabi,Kamel Al-Baba,,Al-Baba,,,,,,,1994,,,,Dar El-Ilm Lil Malayin,Lebanon,,,,script-arab,,,"Kamel El Baba is widely acknowledged as one of the most accomplished contemporary calligraphers in the Arab world. After retiring from his career as a professional calligrapher, he published ""Rouh Al-Khatt Al-Arabi"" (The Spirit of Arabic Calligraphy), in which he discusses the art and history of Arabic calligraphy, and displays a collection of exemplary works.",book,a3cy9epp2h,,,,,1994,,,,
online,,ala-lc,ALA-LC Romanization Tables,Library of Congress,,,,,,,,http://www.loc.gov/catdir/cpso/roman.html,,2025-11-21,,,,,,,,"script-arab, script-bali, script-beng, script-cyrl, script-deva, script-thaa, script-thai, script-gujr, script-hans, script-jpan, script-hang, script-kore, script-lepc, script-mlym, script-mymr, script-grek, script-ethi, script-tibt, script-vaii, script-taml, script-telu, script-cans, script-limb, script-geor, script-hebr, script-knda, script-khmr, script-laoo, script-mong, script-orya, script-latn, script-sinh, script-olck, script-guru, script-cyrs, script-java, script-sund, script-syrc, script-hant, script-armn, lang-amh, lang-bel, lang-asm, lang-guj, lang-mya, lang-div, lang-iku, lang-jrb, lang-kur, lang-lad, lang-lif, lang-mar, lang-pli, lang-pus, lang-sat, lang-sin, lang-tha, lang-uig, lang-ara, lang-aze, lang-ben, lang-kat, lang-jpn, lang-kan, lang-kxm, lang-khm, lang-lao, lang-msa, lang-mon, lang-ori, lang-zho, lang-heb, lang-yid, lang-pnb, lang-rus, lang-srp, lang-mkd, lang-tam, lang-bod, lang-ukr, lang-vai, lang-hye, lang-ban, lang-bul, lang-chu, lang-ell, lang-hin, lang-jav, lang-sun, lang-mad, lang-kas, lang-kor, lang-lep, lang-mal, lang-ota, lang-fas, lang-san, lang-snd, lang-tel, lang-tir, lang-urd, lang-abq, lang-abk, lang-ady, lang-aii, lang-alt, lang-ava, lang-azb, lang-krc, lang-bak, lang-bua, lang-che, lang-ckt, lang-chv, lang-dar, lang-dng, lang-eve, lang-evn, lang-gag, lang-inh, lang-kbd, lang-kaa, lang-krl, lang-kaz, lang-kjh, lang-kca, lang-kir, lang-kpv, lang-koi, lang-kpy, lang-kum, lang-lbe, lang-sjd, lang-sme, lang-lez, lang-tuk, lang-tyv, lang-ude, lang-udm, lang-uzb, lang-uzn, lang-mns, lang-mhr, lang-mrj, lang-ron, lang-bxm, lang-khk, lang-gld, lang-yrk, lang-niv, lang-nog, lang-oss, lang-rom, lang-sel, lang-cjs, lang-tab, lang-tgk, lang-tat, lang-sah, lang-myv, lang-mdf, lang-lit, lang-syr, analysis, transliteration",,"The definitive transliteration guide for anyone who transliterates words, names, titles, or text from a non-Roman script into the Roman script. Provides the most up to date ALA-LC transliteration schemes for even obscure scripts. Includes 61 transliteration tables covering more than 145 languages and dialects written in non-Roman scripts. The first single source for accurate, up to date LC romanization practice. Supersedes all ALA-LC romanization tables previously issued. Organized for practical use.",These Library of Congress tables are used by librarians in cataloging data from a non-Roman script into the Latin script.,webpage,rfscwh9vpr,ALA-LC Romanization Tables,,,,,,,,
book,,allen2004,Middle Egyptian: an introduction to the language and culture of hieroglyphs,James P. Allen,,Allen,,,,,,,2004,,,,Cambridge University Press,"Cambridge, UK",,,,script-egyp,,,,book,c6cy2752ye,,,,,2004,,,,
book,,alone1946,The Alone-Stokes Short Manual of the Amharic Language (with vocabularies),John Philip Herbert Mackenzie Alone,,Alone,,,,,,,1946,,,,Macmillan,London,,,,"script-ethi, lang-amh",,,"Short Manual of the Amharic language. ""Prepared for the General staff by Major J. P. H. M. Alone, the West India regiment."" — Pref. to 1st ed. In English, with frequent interlinear text in Amharic.",book,uyq95xnldz,,,,,1946 (Fourth edition),,,,
article,,anthony2021,This Arunachal man is on a mission to give shape to his tribal dialect,Felix Anthony,,Anthony,EastMojo,,,,,https://www.eastmojo.com/arunachal-pradesh/2021/08/26/this-arunachal-man-is-on-a-mission-to-give-shape-to-his-tribal-dialect/,2021-08-26,2023-09-14,,,,,,,,script-tnsa,,,An article about efforts to teach the Tangsa Mossang script to members of all the Tangsa sub-tribes in Arunachal Pradesh.,webpage,ryqtkhu9nk,This Arunachal man is on a mission to give shape to his tribal dialect,EastMojo,,,"Published 2021-08-26, accessed 2023-09-14",,,,
online,f,anvil,anvil,,,,,,,,,https://github.com/silnrsi/anvil,,2025-11-19,,,,,,,,"fonts, font tools",Simple script to help run dockerized smith,,,,,,Github,,,,,,,
book,,aronson1990,Georgian: A Reading Grammar,Howard I. Aronson,,Aronson,,,,,,http://www.seelrc.org:8080/grammar/pdf/stand_alone_georgian.pdf,1990,,,,"Slavica Publishers, Inc.","Bloomington, IN",,,,script-geor,,,,book,vnry2mmlna,Reference Grammar,,,,1990,,,,
inbook,,aronson1996,Yiddish,Howard I. Aronson,Peter T. Daniels and William Bright,Aronson,,The World's Writing Systems,,,,,1996,,0-19-507993-0,,Oxford University Press,Oxford,735-741,,,script-hebr,,,,booksectn,uadekrbnt2,,The World's Writing Systems,0-19-507993-0,,1996,,,,
misc,,aviv2005,Bruly Bouabré's Alphabet,Nurith Aviv,,Aviv,,,,,,http://icarusfilms.com/new2005/brul.html,2005,,,,Icarus Films,,,,,script-qa00,,,"Independent film-maker Nurith Aviv produced a 17-minute documentary about the Bété script in 2005, featuring interviews with Frédéric Bruly Bouabré, the script’s creator.",webpage,zsvuafnpfn,Bruly Bouabré's Alphabet,,,video,2005,,,,
online,,babelmap,BabelMap (Unicode Character Map for Windows),Andrew West,,West,,,,Babelstone,,http://www.babelstone.co.uk/Software/BabelMap.html,,2011-12-21,,,,,,,,encoding,,,"BabelMap is a free character map application for Windows that allows you to browse through the entire Unicode character repertoire of nearly 110,000 characters, or search for a particular character by name or by code point. Characters can then be copied to the clipboard for use in any Unicode-aware application. BabelMap always supports the most recent version of the Unicode Standard.",webpage,d39lspwryq,Babelstone: BabelMap,,,,Accessed 2011-12-21,,,,
online,,babelstone-phagspa,Phags-pa script,Andrew West,,West,,,,Babelstone,,http://www.babelstone.co.uk/Phags-pa/,2006-12-21,,,,,,,,,script-phag,,,"This is part of Andrew West's site, BabelStone, which provides information and fonts for a number of languages in which he is interested. The Phags-pa page appears not to have been updated since 2006, so details relating to its status in Unicode, availability of software, etc. is likely to be out of date. However, the description of the script, its history, and its variant forms is informative, and samples of three different styles are provided.",webpage,xgubwrxmxh,Babelstone: Phags-pa script,,,,2006-12-21,,,,
online,,babelstone-yi,Yi,Andrew West,,West,,,,Babelstone,,https://www.babelstone.co.uk/Yi/,,2022-09-26,,,,,,,,"script-yiii, lang-iii",,"Essential data about Nuosu Yi: people, history, primer, dictionary index scheme, syllabic writing, romanization. Though some parts of the site are no longer maintained, the basic data remain valid. Babelstone is also the home of software application Babelpad.","Excellent, uncluttered data and explanations of Nuosu Yi: people, history, primer, dictionary index scheme, syllabic writing, romanization. Babelstone is also the home of software application Babelpad.",webpage,u4973ffvn3,Babelstone : Yi,,,,Accessed 2022-09-26,,,,
article,,back2015,A Glagolitic Christmas,Mel Back,,Back,Languages Across Borders,,,,,https://europeancollections.wordpress.com/2015/12/22/a-glagolitic-christmas-the-december-2015-slavonic-item-of-the-month/,2015-12-22,,,,,,,,,script-glag,,,"A short article about a 1528 Croatian Missal, published in Venice and printed in the Glagolitic alphabet.",webpage,dyavff2swd,A Glagolitic Christmas,European languages across borders,,,published 2015-12-22,,,,
online,,baerdemaeker,Mongolian script - from metal type to digital font,Jo de Baerdemaeker,,Baerdemaeker,,,,,,http://mongoliantype.com/,,2025-11-21,,,,,,,,script-mong,,,"This research project aims to provide an comprehensive historical account on the evolution of the printed Mongolian character, and to offer practice-oriented guidance for the design and development of new digital fonts for the traditional Mongolian script (or Uyghuro-Mongol script) and its variants. The site intends to be the platform of the research project and presents findings and practical guidance supported by theoretical analysis, publicly available to scholars of Mongolian language and culture, to historians of print, to professional (typeface) designers, software developers, librarians, linguists, academics, and to all those who have an interest in non-Latin typography and typeface design.",webpage,tj2vyx6vq5,Mongolian Type,,,,,,,,
inbook,,bagchi1996,Bengali Writing,Tista Bagchi,Peter T. Daniels and William Bright,Bagchi,,The World's Writing Systems,,,,,1996,,0-19-507993-0,,Oxford University Press,Oxford,399-403,,,script-beng,,,,booksectn,dfb4sucw8q,,The World's Writing Systems,0-19-507993-0,,1996,,,,
inbook,,barber1995,Innovation and Persistence,Karin Barber,,Barber,,Africa’s hidden histories: everyday literacy and making the self,,,,,1995,,,,Redwood Books,"Wiltshire, UK",428-431,,,script-qa15,,,This book section tells the story of the Raina Kama writers' circle and the alphabet they used. It does not contain technical information about the Raina Kama alphabet; rather it provides brief historical information.,booksectn,bqs3j2yfbr,,Africa’s hidden histories: everyday literacy and making the self,,,1995,,,,
inbook,,bauer1996,Arabic Writing,Thomas Bauer,Peter T. Daniels and William Bright,Bauer,,The World's Writing Systems,,,,,1996,,0-19-507993-0,,Oxford University Press,Oxford,559-564,,,script-arab,,,,booksectn,hcz6av86vh,,The World's Writing Systems,0-19-507993-0,,1996,,,,
online,f,bcp47,Tags for Identifying Languages (BCP 47),,,,,,,,,https://www.rfc-editor.org/bcp/bcp47.txt,,2025-11-19,,,,,,,,writing systems,,,,,,,,,,,,,,
online,f,bcp47-loomis,IETF BCP 47,Steven R. Loomis,,Loomis,,,,,,https://codehivetx.us/en/posts/2024-bcp47.html,,2025-11-19,,,,,,,,"writing systems, locale data",,,,,,,,,,,,,,
online,f,bcp47ext- loomis,IETF BCP 47 - extensions,Steven R. Loomis,,Loomis,,,,,,https://codehivetx.us/en/posts/2024-bcp47-extensions.html,,2025-11-19,,,,,,,,"writing systems, locale data",,,,,,,,,,,,,,
book,,beeston2006,The Arabic Language Today,Alfred Beeston,,Beeston,,,,,,,2006,,,,Georgetown University Press,,,,,script-arab,,,,book,x4m7pfsfjr,,,,,2006,,,,
article,,benatia2006,Arabic text justification,Mohamed Jamal Eddine Benatia and Mohamed Elyaakoubi and Azzeddine Lazrek,,Benatia,TUGboat,,,,,https://www.tug.org/TUGboat/tb27-2/tb87benatia.pdf,2006,,,,,,,,,"script-arab, lang-ara",,"Justification of Latin script based texts is carried out by handling of hyphenation and insertion of inter-word glue, which can be stretched or shrunk to some extent. Due to the cursive nature of Arabic writing, text justification in Arabic has a quite different logic. So, the classical algorithms of text justification must be completely revised. Justification in Arabic typography has traditional processes inspired by calligraphy manuals. Words are flexible: on the one hand, a word can be resized through stretching some letters in a curvilinear way; on the other hand, it can be shrunk via ligatures so that the width of a given letter group is decreased.",Description of mechanisms for text justification in Arabic.,webpage,axe7u6lujz,Arabic text justification,,,,2006,,,,
article,,bender2008,"Indexicality, voice, and context in the distribution of Cherokee scripts",Margaret Bender,,Bender,International Journal of the Sociology of Language,,,,,http://dx.doi.org/10.1515/IJSL.2008.037,2008,,,1613-3668,,,91-103,2008,192,"script-cher, script-latn, lang-chr",,"Using illustrations from recent Cherokee literacy practices, this article demonstrates that the linguistic anthropological concepts of indexicality and voice may profitably be used to analyze the communicative function of scripts, and literacy in general, as well as spoken language. In Cherokee, alternation patterns between the two scripts in current use are linked, through their vocal qualities and indexical functioning, to social categories of personhood and to the characterization of local social institutions.",Describes the active use of two scripts by Cherokee community members.,journal,uubftkglbe,"Indexicality, voice, and context in the distribution of Cherokee scripts",International Journal of the Sociology of Language,1613-3668,,,,,,
misc,,beyene1998,Ethiopian Language Support for the Babel Package,Berhanu Beyene and Manfred Kudlek and Olaf Kummer and Jochen Metzinger,,Beyene,,,,,,ftp://ftp.dante.de/tex-archive/language/ethiopia/ethiop/doc/ethiodoc.ps,1998-12-07,,,,"Universität Hamburg, FB Informatik",,,,,script-ethi,,"The Ethiopian script differs considerably from the Latin script. Most important, it consists of more than 350 different letters. A new transcription method is presented that can be used for the LaTeX typesetting system. It was implemented on the basis of the multilingual typesetting package babel.(CR)(CR)In addition to a guide to the concrete usage of our system, we provide technical details of the implementation and sketch the reasons for our design decisions. Linguistic and historical information on the Ethiopian script is also included.","While this document is somewhat dated (it is pre-Unicode), it does provide interesting background material on the development of the computerization of the Ethiopic script.",academic,ksj88tpn9w,postscript-only (.ps) version of this paper,,,paper,7th December 1998,,,,
book,,blench2006,A Dictionary of the Izere language of Fobur,Roger Blench and Bitrus Bulus Kaze,,Blench,,,,,,https://www.rogerblench.info/Language/Niger-Congo/BC/Plateau/Izeric/Language/Izere%20Dictionary%20composite%202019.pdf,2006-01-01,,,,,,,,,lang-izr,,,"Introduction to an Izere dictionary including language background, phonology, official alphabet (a b c e e̲ d f g gb gh i j k kp l m n ng ny o o̲ p r s sh t u v w wh y z zh) and short grammar.",academic,wwnaza69eq,PDF,,,paper,2006-01,,,,
book,,bliss1965,Semantography: A Logical Writing for an Illogical World,Charles K. Bliss,,Bliss,,,,,,,1965,,,,Semantography (Blissymbolics) Publications,Sydney,,,,script-blis,,,"This book is available online. The website author says ""The original work of Charles Kaisel Bliss is made available here without permission because the book is out of print and no contact information with his estate is available. I honestly believe Charles would approve. He expressed his hope that someday his work would be freely available to all beyond its limited availability in state libraries.""",book,gecf22dwel,Semantography (Blissymbolics),,,,1965,,,,
article,,blood2008,The ascendancy of the Cham script: how a literacy workshop became the catalyst,Doris Blood,,Blood,International Journal of the Sociology of Language,,,,,http://dx.doi.org/10.1515/IJSL.2008.034,2008,,,1613-3668,,,45-55,2008,192,script-cham,,,"This article focuses on the Eastern Cham of Vietnam. The author and her husband came to the Cham area in the 1960s and found that their script, descended from Sanskrit, was prestigious but essentially useless since it was not used for everyday communication and was only known by old men. The introduction of romanized primers in Cham schools brought much opposition, and in the 1970s they chose to revert to the traditional script for their language. In so doing, the Eastern Cham people revealed that their script is important visible evidence of their distinctiveness as a unique people.",journal,rkwytgmlsg,,International Journal of the Sociology of Language,1613-3668,,,,,,
book,,bolgatanga2011,Gurenɛ Gulesiyiŋɔ Sɔa la Gulesiyiŋɔ Yelebɛa,,,,,,,,,,2001,,,,Bolgatanga and Bongo District Assemblies,Bolgatanga,,,,lang-gur,,,"Guide to Farefari orthography, written in the Farefari language.",book,wk45d2bhqk,,,,,2001,,,,
article,,bondarev2006a,An Archaic Form of Kanuri/Kanembu: A Translation Tool for Qur'Anic Studies,Dmitry Bondarev,,Bondarev,Journal of Qur'anic Studies,,,,,https://www.academia.edu/282596/An_Archaic_Form_of_Kanuri_Kanembu_A_Translation_Tool_for_QurAnic_Studies,2006,,,,,,143-153,,,"script-arab, lang-knc, lang-bms, lang-kby, lang-krt, lang-kau",,,"Tarjumo, which developed from archaic Kanembu into a highly technical translation tool, exhibits features of a 'classical language' typical of diglossia, and is functionally restricted to use only with the source language (Arabic): it is this combination which makes Tarjumo unique among the languages written in Arabic script.",journal,kz3y37nntd,,Journal of Qur'anic Studies,,,2006,,,,
article,,bondarev2006b,The Language of the Glosses In the Bornu Quranic Manuscripts,Dmitry Bondarev,,Bondarev,"Bulletin of the School of Oriental and African Studies, University of London",,,,,https://www.academia.edu/282594/The_Language_of_the_Glosses_In_the_Bornu_Quranic_Manuscripts,2006,,,,,,113-140,69,1,"script-arab, lang-knc",,,A review of the Bornu manuscripts which were written in the style of Market Editions of Nigeria.,journal,whq9gg337b,,"Bulletin of the School of Oriental and African Studies, University of London",,,2006,,,,
inbook,,bondarev2014,"Multiglossia in West African manuscripts: The case of Borno, Nigeria",Dmitry Bondarev,Jörg B. Quenzer and Dmitry Bondarev and Jan-Ulrich Sobisch,Bondarev,,Manuscript Cultures: Mapping the Field,,,,https://www.academia.edu/715694/Multiglossia_in_West_African_manuscripts_The_case_of_Borno_Nigeria,2014,,,,De Gruyter Mouton,The Hague,,,,script-arab,,,"The manuscripts discussed in this article are products of the Kanem-Borno writing tradition. They include the monolingual Kanuri genealogical lists (gargams) of Kanem-Borno rulers collected by Palmer, and the bilingual (Arabic-Old Kanembu) early Borno Qur’anic manuscripts first published by Bivar.",booksectn,mtla9hrue9,,Manuscript Cultures: Mapping the Field,,,2014,,,,
inproceedings,,bondarev2017,Islamic Education and Ample Space Layout in West African Islamic Manuscripts,Dmitry Bondarev,,Bondarev,,"The Arts and Crafts of Literacy: Manuscript Cultures in Muslim Sub-Saharan Africa, De Gruyter",,,,https://www.academia.edu/38873196/Islamic_Education_and_Ample_Space_Layout_in_West_African_Islamic_Manuscripts,2017,,,,,,,,,"script-arab, lang-fuv, lang-knc, lang-kau, lang-krt, lang-kby, lang-bms, lang-hau",,"There is a distinctive type of manuscripts across the whole of West Africa characterised by ample space between the lines. This codicological feature seems to point to teaching practices wherein extra space is planned for annotations. This article attempts to draw a correlation between this specific layout and the content of the manuscripts, thus demonstrating that practices of Islamic education can be deduced from analysis of manuscript production. Following Introduction, section 2 discusses ample space layout relation to annotations in the Borno Quran manu-scripts; section 3 focuses on the same features in manuscripts from Borno, other than Quran manuscripts; section 4 is a comparative survey of the Borno, Senegam-bia and Adamawa manuscripts in terms of the relationship between the types of texts and the ample-spaced layout. This comparison reveals a complex pattern of correlation between types of glosses, layout, titles of works, curricula and phases of education.","The layout features of the manuscripts from Borno and the wider Senegambia region were initially studied as part of the project 'Writing and reading paratexts in West African Islamic manuscripts: a comparative study of commentaries on Arabic texts in Old Kanembu and Old Mande' which subsequently developed into the project 'Islamic manuscripts with a wide spaced layout as mediators of teaching practices in West Africa', both projects being integrated into the collaborative research SFB 950 at the Centre for the Study of Manuscript Cultures, University of Hamburg. The manuscripts originating from Hausa and Fulfulde speaking scholarly milieus in what is now north and east Nigeria are the subject of a preliminary study affiliated to the 'Wide space layout project' and conducted by Musa Salih Muhammad, Arewa House, and myself.",academic,hebwsz35jh,,"The Arts and Crafts of Literacy: Manuscript Cultures in Muslim Sub-Saharan Africa, De Gruyter",,paper,2017,,,,
online,,bouabre,Frédéric Bruly Bouabré at the CAAC,,,,,,,,,http://www.caacart.com/pigozzi-artist.php?i=Bruly-Bouabre-Frederic&m=14,,2011-11-04,,,,,,,,script-qa00,,,"The Contemporary African Art Collection (CAAC), based in Geneva, is a private collection created by Italian business man, Jean Pigozzi. The collection contains 122 pages of Frédéric Bruly Bouabré’s original drawings which led to the creation of the Bété script in 1956.",webpage,cl24n2l669,Frédéric Bruly Bouabré at the CAAC,,,,Accessed 2011-11-04,,,,
misc,,boyd2009,Exposé de l'Alphabet et de l'Orthographe Proposé pour le Gbaya Mbodomo,Virginia L. Boyd,,Boyd,,,,,,http://www.silcam.org/download.php?sstid=030100&folder=documents&file=MbodomoOrthography.pdf,2009-09-24,,,,,,,,,lang-gmm,,,"This paper (written in French) proposes an alphabet and a set of orthographic rules for writing the Gbaya Mbodomo language spoken in Cameroon. The linguistic classification of the language is provided, along with an analysis of its phonology and a guide to pronunciation. Following this is a discussion of the proposed alphabet and orthography, including the proposed treatment of tones. A text written in the Gbaya Mbodomo language, using the proposed orthography, is also presented.(CR)(CR)Clicking the link below will download a PDF of the document to your computer.",webpage,uedt9rb7s2,Expose de l'Alphabet et de l'Orthographe Proposé pour le Gbaya Mbodomo,SIL Cameroon,,,published 2009-09-24,,,,
online,,brahmi-descended-scripts,Brahmi Descended Scripts,,,,,,,,,http://oocities.org/Athens/Academy/9594/brahmi.html,,2019-07-10,,,,,,,,"script-knda, script-taml, script-mlym, script-sinh, script-mymr, script-laoo, script-thai, script-khmr, script-java, script-bali, script-tglg, script-batk, script-bugi, script-telu, script-tibt, script-orya, script-beng, script-guru, script-gujr, script-deva",,,"This page (an archive from Geocities.com which is no longer online) shows the modern descendants of the ancient Brahmi script, in chart form, so that each character can be compared across scripts. The page includes scripts from North and South India, South-East Asia, Indonesia, and the Philippines.",webpage,hxzlg3mdap,Brahmi Descended Scripts,,,,Accessed 2019-07-10,,,,
online,,březina2011,On Diacritics,David Březina,,Březina,,,,I Love Typography,,http://ilovetypography.com/2009/01/24/on-diacritics/,2011-03-30,,,,,,,,,"script-latn, char-02c7, char-030c",,,"Article about the importance of Latin diacritics, and the challenges faced by type designers who want to include them in their fonts. The issues of weight and size, placement, stylistic harmony, and fitting / kerning are summarized, and particular mention is made of the caron.",webpage,cf2y3x2pa2,On Diacritics,I Love Typography,,,"Accessed 30 March, 2011",,,,
article,,brigaglia2011,Central Sudanic Arabic Scripts (Part 1): The Popularization of the Kanawi Script,Andrea Brigaglia,,Brigaglia,Islamic Africa,,,,,https://www.academia.edu/9668701/Central_Sudanic_Arabic_Scripts_Part_1_The_Popularization_of_the_Kanawi_Script?email_work_card=view-paper,2011,,,2154-0993,,,51-85,2,2,"script-arab, lang-hau, lang-knc",,,"In this article, I want to draw attention to the Arabic calligraphic styles used in manuscripts and “market editions” produced in twentieth- century northern Nigeria. While research on the origins and history of the Arabic calligraphic scripts of the Central Sudan still needs to answer many questions, this article contends that, instead of focusing only on the few available sixteenth- or seventeenth- century manuscripts, researchers could also beneﬁt from the study of the easily accessible twentieth- century Nigerian calligraphic hands, which have inherited and popularized more ancient calligraphic traditions.",journal,lp5z9k8zpu,,Islamic Africa,2154-0993,,2011,,,,
article,,brigaglia2013,Central Sudanic Arabic Scripts (Part 2): The Barnawi,Andrea Brigaglia and Mauro Nobili,,Brigaglia,Islamic Africa,,,,,https://www.academia.edu/9668724/Central_Sudanic_Arabic_Scripts_Part_2_The_Barnawi,2013,,,2154-0993,,,195-223,2,2,"script-arab, lang-hau, lang-knc",,,"Develops the reflections started with Part 1. Through an analysis of the Barnawi, argues that the Central Sudanic Script is the most archaic form of Arabic script that has been continuously transmitted in a given region of the Muslim world until today, and criticizes the chronology of the history of West African scripts proposed by Sheila Blair.",journal,hzdf458dtt,,Islamic Africa,2154-0993,,2013,,,,
inbook,,bright1996devanagari,The Devanagari Script,William Bright,Peter T. Daniels and William Bright,Bright,,The World's Writing Systems,,,,,1996,,0-19-507993-0,,Oxford University Press,Oxford,384-390,,,script-deva,,,,booksectn,hmsqfyxyz7,,The World's Writing Systems,0-19-507993-0,,1996,,,,
inbook,,bright1996kannadatelegu,Kannada and Telugu Writing,William Bright,Peter T. Daniels and William Bright,Bright,,The World's Writing Systems,,,,,1996,,0-19-507993-0,,Oxford University Press,Oxford,413-419,,,"script-telu, script-knda",,,,booksectn,yyt84aymmq,,The World's Writing Systems,0-19-507993-0,,1996,,,,
article,,brissaud2011,The late acquisition of a major difficulty of French inflectional orthography: The homophonic /E/ verbal endings,Catherine Brissaud and Jean-Pierre Chevrot,,Brissaud,Writing Systems Research,,,,,http://www.tandfonline.com/doi/abs/10.1093/wsr/wsr003,2011,,,,,,,3,2,"char-00e9, char-0065, lang-fra",,,"The aim of this article is to give an overview of researches about the acquisition of /E/ verb endings in French as a first language. The spelling of this suffixal inflection is a major difficulty of French orthography, because many alternative spellings are available. The article presents the findings of a study carried out among 621 8- to 14-year-old children and confirms a very long and costly acquisition of the spelling skill. The author suggests that the French writing system is one of the most difficult to master. The study is intended to contribute to educational reform in France.(CR)(CR)Please note that, in order to read this article, you must either purchase short-term access to it, or be a subscriber to the journal.",journal,uhz8y5mv9h,The late acquisition of a major difficulty of French inflectional orthography: The homophonic /E/ verbal endings,Writing Systems Research,,,2011,,,,
online,,brouwer,The Tifinagh Alphabet,Andries E. Brouwer,,Brouwer,,,,Technische Universiteit Eindhoven,,http://www.win.tue.nl/~aeb/natlang/berber/tifinagh/,,2025-11-21,,,,,,,,script-tfng,,,,webpage,ylgn992tze,The Tifinagh Alphabet,Technische Universiteit Eindhoven,,,,,,,
